item_definition,itemID,category,diminutive
kamień,item_294,outside,
kanapka/kromka,item_95,food_drink,
kapelusz,item_160,clothing,
kapusta,item_96,food_drink,
kartka/papier,item_140,toys,
kaszka,item_97,food_drink,
kawa,item_98,food_drink,
każdy,item_597,quantifiers,
ketchup,item_99,food_drink,
kiedy?,item_632,question_words,
kiedyś,item_568,time_words,
kieszeń,item_161,clothing,
kiełbasa,item_100,food_drink,
kijek/patyk,item_295,outside,yes
klocki,item_141,toys,
klucz,item_243,household,
ko ko ko,item_3,sounds,
koc/kołdra,item_244,household,
kochany,item_393,descriptive_words (adjectives),
kochać,item_454,action_words,
kogut,item_21,animals,
kolacja,item_371,games_routines,
kolano,item_185,body_parts,
kolega/koleżanka,item_344,people,
koparka,item_60,vehicles,
kopać,item_455,action_words,
korytarz/przedpokój,item_210,furniture_rooms,
kosi-kosi łapci,item_374,games_routines,
koszula,item_162,clothing,
koszyk,item_245,household,
kot,item_23,animals,
kotlet,item_101,food_drink,
koza,item_24,animals,
"koło/obok (np. koło szafy, obok taty)",item_651,prepositions,
koń,item_22,animals,
kościół,item_317,places,
kran,item_211,furniture_rooms,
krasnoludek,item_345,people,
kredki,item_142,toys,
krew,item_186,body_parts,
krowa,item_25,animals,
krzesło,item_212,furniture_rooms,
krzyczeć/wołać,item_456,action_words,
król/królewna,item_346,people,
królik,item_26,animals,
ksiądz,item_347,people,
książka,item_143,toys,
księżyc,item_296,outside,
kto?,item_629,question_words,
ktoś,item_619,pronouns_demonstrative,
który?,item_637,question_words,
kubek,item_246,household,
kuchnia,item_213,furniture_rooms,
kupić,item_457,action_words,
kupka,item_373,games_routines,yes
kura,item_27,animals,
kurczak,item_102,food_drink,
kurczątko,item_28,animals,
kurtka,item_163,clothing,
kwa kwa,item_4,sounds,
kwiatek,item_297,outside,
kąpać się,item_452,action_words,
kłaść/położyć,item_453,action_words,
lalka,item_144,toys,
lampa,item_247,household,
las,item_318,places,
lać,item_458,action_words,
lecieć/latać,item_459,action_words,
lekarstwa/tabletki,item_248,household,
lew,item_29,animals,
leżeć,item_460,action_words,
lis,item_30,animals,
listek,item_298,outside,yes
lizak,item_103,food_drink,
lody,item_104,food_drink,
lodówka,item_214,furniture_rooms,
lokomotywa,item_61,vehicles,
lubić,item_461,action_words,
ludzie,item_348,people,
