"downloaded","item_id","item_definition","category","16","17","18","19","20","21","22","23","24","25"
2026-02-20,48,"sebra","animals",0,0,0.02,0.05,0.12,0.14,0.17,0.28,0.3,0.38
2026-02-20,49,"sjiraff","animals",0.05,0.03,0.06,0.13,0.19,0.26,0.33,0.46,0.5,0.58
2026-02-20,50,"skilpadde","animals",0,0,0.02,0.04,0.12,0.12,0.18,0.24,0.29,0.38
2026-02-20,51,"sommerfugl","animals",0,0.01,0.04,0.07,0.16,0.16,0.22,0.34,0.4,0.49
2026-02-20,52,"tiger","animals",0.04,0.03,0.11,0.14,0.25,0.29,0.39,0.47,0.52,0.58
2026-02-20,53,"ugle","animals",0.03,0.03,0.06,0.09,0.15,0.19,0.24,0.34,0.37,0.42
2026-02-20,54,"ulv","animals",0,0.01,0.03,0.06,0.07,0.1,0.14,0.2,0.24,0.27
2026-02-20,55,"valp","animals",0.01,0.02,0.02,0.04,0.04,0.07,0.05,0.1,0.1,0.15
2026-02-20,56,"veps","animals",0.01,0.04,0.04,0.06,0.14,0.14,0.17,0.23,0.27,0.33
2026-02-20,57,"akebrett","vehicles",0,0.02,0.03,0.05,0.1,0.15,0.22,0.32,0.38,0.47
2026-02-20,58,"barnevogn","vehicles",0.01,0.06,0.11,0.19,0.33,0.34,0.42,0.53,0.6,0.67
2026-02-20,59,"bil","vehicles",0.4,0.41,0.56,0.69,0.8,0.84,0.9,0.91,0.9,0.94
2026-02-20,60,"brannbil","vehicles",0.01,0.05,0.03,0.1,0.16,0.19,0.27,0.36,0.44,0.54
2026-02-20,61,"båt","vehicles",0.21,0.22,0.31,0.38,0.57,0.64,0.72,0.78,0.8,0.88
2026-02-20,62,"buss","vehicles",0.2,0.16,0.28,0.36,0.54,0.6,0.67,0.76,0.8,0.86
2026-02-20,63,"fly","vehicles",0.17,0.21,0.32,0.4,0.58,0.61,0.74,0.77,0.85,0.88
2026-02-20,64,"helikopter","vehicles",0,0.03,0.04,0.09,0.17,0.19,0.29,0.42,0.45,0.57
2026-02-20,65,"lastebil","vehicles",0.01,0.03,0.06,0.16,0.23,0.28,0.36,0.53,0.55,0.68
2026-02-20,66,"motorsykkel","vehicles",0.01,0.03,0.04,0.06,0.14,0.17,0.25,0.35,0.41,0.52
2026-02-20,67,"sykkel","vehicles",0.04,0.08,0.15,0.21,0.38,0.43,0.51,0.64,0.7,0.77
2026-02-20,68,"tog","vehicles",0.15,0.1,0.22,0.31,0.49,0.54,0.63,0.7,0.74,0.83
2026-02-20,69,"traktor","vehicles",0.19,0.15,0.28,0.39,0.47,0.56,0.61,0.69,0.73,0.8
2026-02-20,70,"trehjulssykkel","vehicles",0.02,0.01,0.01,0.01,0.01,0.04,0.06,0.08,0.11,0.2
2026-02-20,71,"ball","toys",0.58,0.57,0.73,0.8,0.85,0.89,0.92,0.93,0.94,0.96
2026-02-20,72,"ballong","toys",0.12,0.15,0.27,0.33,0.48,0.5,0.58,0.65,0.74,0.8
2026-02-20,73,"blyant","toys",0.01,0.01,0.03,0.05,0.11,0.16,0.21,0.25,0.28,0.37
2026-02-20,74,"bok","toys",0.31,0.34,0.48,0.57,0.68,0.76,0.8,0.82,0.88,0.92
2026-02-20,75,"klosser","toys",0.05,0.03,0.11,0.11,0.23,0.29,0.34,0.44,0.51,0.58
2026-02-20,76,"dukke","toys",0.1,0.19,0.35,0.4,0.46,0.56,0.58,0.62,0.65,0.73
2026-02-20,77,"lego","toys",0.01,0.03,0.07,0.09,0.18,0.22,0.28,0.34,0.44,0.47
2026-02-20,78,"eventyr","toys",0,0,0.01,0.02,0.03,0.04,0.05,0.12,0.16,0.23
2026-02-20,79,"fargeblyant","toys",0,0.02,0.01,0.03,0.05,0.08,0.09,0.16,0.17,0.21
2026-02-20,80,"presang","toys",0,0.01,0.06,0.07,0.13,0.19,0.22,0.29,0.46,0.52
2026-02-20,81,"kritt","toys",0,0,0.02,0.02,0.03,0.03,0.03,0.06,0.1,0.11
2026-02-20,82,"leke (object)","toys",0.07,0.1,0.21,0.25,0.37,0.42,0.54,0.62,0.72,0.77
2026-02-20,83,"lim","toys",0,0,0.01,0.02,0.04,0.07,0.1,0.14,0.19,0.22
2026-02-20,84,"penn","toys",0.03,0.02,0.05,0.07,0.14,0.17,0.23,0.31,0.34,0.38
2026-02-20,85,"plastilina","toys",0,0.01,0,0.02,0.02,0.05,0.05,0.08,0.1,0.15
2026-02-20,86,"puslespill","toys",0.02,0.01,0.04,0.1,0.14,0.21,0.28,0.38,0.47,0.54
2026-02-20,87,"spill","toys",0.01,0.02,0.05,0.09,0.15,0.2,0.23,0.29,0.41,0.43
2026-02-20,88,"såpebobler","toys",0.02,0.03,0.03,0.06,0.08,0.12,0.15,0.24,0.3,0.42
2026-02-20,89,"(brød)skive","food_drink",0.14,0.13,0.22,0.33,0.42,0.5,0.59,0.64,0.73,0.76
2026-02-20,90,"agurk","food_drink",0.07,0.05,0.11,0.19,0.28,0.34,0.43,0.5,0.55,0.62
2026-02-20,91,"appelsin","food_drink",0.06,0.09,0.16,0.28,0.39,0.5,0.54,0.62,0.68,0.74
2026-02-20,92,"banan","food_drink",0.45,0.44,0.58,0.64,0.77,0.78,0.84,0.88,0.9,0.92
2026-02-20,93,"boller","food_drink",0.15,0.18,0.27,0.35,0.48,0.58,0.65,0.74,0.76,0.85
2026-02-20,94,"bønner","food_drink",0,0,0.01,0.01,0.01,0.02,0.04,0.07,0.07,0.1
2026-02-20,95,"brød","food_drink",0.18,0.12,0.22,0.31,0.41,0.48,0.53,0.61,0.68,0.73
2026-02-20,96,"brus","food_drink",0.07,0.1,0.15,0.17,0.3,0.38,0.39,0.49,0.57,0.66
2026-02-20,97,"cola","food_drink",0,0.01,0.03,0.05,0.08,0.12,0.12,0.16,0.22,0.25
2026-02-20,98,"corn flakes","food_drink",0,0,0.01,0.01,0.01,0.02,0.05,0.08,0.12,0.14
2026-02-20,99,"dessert","food_drink",0,0.01,0.03,0.05,0.08,0.1,0.15,0.22,0.25,0.31
2026-02-20,100,"drikke (beverage)","food_drink",0.15,0.22,0.33,0.42,0.54,0.62,0.67,0.74,0.8,0.83
2026-02-20,101,"druer","food_drink",0.1,0.11,0.28,0.31,0.42,0.48,0.57,0.66,0.7,0.74
2026-02-20,102,"egg","food_drink",0.1,0.12,0.23,0.27,0.46,0.53,0.6,0.68,0.7,0.8
2026-02-20,103,"eple","food_drink",0.22,0.25,0.44,0.51,0.62,0.69,0.75,0.81,0.82,0.9
2026-02-20,104,"erter","food_drink",0.02,0.03,0.04,0.06,0.09,0.14,0.16,0.23,0.23,0.34
2026-02-20,105,"fisk (food)","food_drink",0.1,0.11,0.23,0.31,0.46,0.55,0.62,0.71,0.75,0.81
2026-02-20,106,"frokostblanding","food_drink",0,0,0.01,0.01,0.01,0.04,0.03,0.07,0.07,0.11
2026-02-20,107,"frukt","food_drink",0.02,0.02,0.07,0.11,0.17,0.21,0.26,0.36,0.45,0.47
2026-02-20,108,"godteri","food_drink",0.01,0.02,0.06,0.1,0.16,0.2,0.26,0.31,0.37,0.48
2026-02-20,109,"grøt","food_drink",0.08,0.13,0.2,0.23,0.34,0.39,0.48,0.57,0.58,0.7
2026-02-20,110,"gulrot","food_drink",0.03,0.05,0.07,0.17,0.25,0.31,0.41,0.51,0.54,0.65
2026-02-20,111,"hamburger","food_drink",0.01,0.01,0.01,0.01,0.03,0.06,0.05,0.12,0.14,0.19
2026-02-20,112,"is","food_drink",0.23,0.35,0.47,0.53,0.66,0.72,0.8,0.86,0.88,0.91
2026-02-20,113,"jordbær","food_drink",0.01,0.03,0.07,0.11,0.2,0.21,0.29,0.43,0.44,0.53
2026-02-20,114,"juice","food_drink",0.07,0.13,0.23,0.33,0.47,0.54,0.59,0.69,0.72,0.79
2026-02-20,115,"kaffe","food_drink",0.07,0.05,0.11,0.19,0.27,0.36,0.44,0.52,0.57,0.66
2026-02-20,116,"kake","food_drink",0.23,0.23,0.34,0.42,0.55,0.62,0.7,0.75,0.81,0.87
2026-02-20,117,"kjeks","food_drink",0.18,0.22,0.37,0.45,0.54,0.64,0.67,0.75,0.79,0.83
2026-02-20,118,"kjøtt","food_drink",0.02,0.02,0.04,0.06,0.1,0.17,0.21,0.3,0.37,0.43
2026-02-20,119,"kjøttkaker","food_drink",0.01,0,0.02,0.04,0.09,0.13,0.17,0.24,0.32,0.39
2026-02-20,120,"knekkebrød","food_drink",0,0.02,0.03,0.06,0.12,0.17,0.23,0.34,0.36,0.5
2026-02-20,121,"kylling (food)","food_drink",0.01,0.02,0.03,0.08,0.11,0.19,0.24,0.3,0.38,0.45
2026-02-20,122,"leverpostei","food_drink",0.01,0.04,0.06,0.1,0.19,0.25,0.31,0.42,0.51,0.57
2026-02-20,123,"mat","food_drink",0.32,0.25,0.37,0.44,0.56,0.64,0.69,0.75,0.8,0.82
2026-02-20,124,"matpakke","food_drink",0,0.01,0.04,0.05,0.07,0.1,0.13,0.23,0.25,0.3
2026-02-20,125,"melk","food_drink",0.26,0.26,0.41,0.51,0.63,0.67,0.74,0.8,0.83,0.88
2026-02-20,126,"melon","food_drink",0.02,0.02,0.03,0.06,0.1,0.12,0.17,0.26,0.28,0.39
2026-02-20,127,"nøtter","food_drink",0,0,0.01,0.01,0.03,0.03,0.05,0.1,0.11,0.17
2026-02-20,128,"nugatti","food_drink",0,0.01,0.02,0.02,0.02,0.06,0.05,0.08,0.12,0.14
2026-02-20,129,"ost","food_drink",0.15,0.17,0.32,0.4,0.56,0.63,0.69,0.75,0.8,0.84
